target,cohort,feature_set,model,config,seed,n_rows,n_train,n_test,n_features_raw,n_features_after_variance,n_features_selected,rmse,mae,r2,test_mean_rmse,improvement_vs_test_mean_pct
rhamnose_gL,all_known,raman_interpretable,pls,"n_components=5,alpha=1.0,max_features=24,y_transform=log1p",0,153,115,38,27,23,23,4.875241597819001,1.1577855810407562,-59.304300694203526,0.6278009950097084,-676.5584375576866
rhamnose_gL,all_known,raman_interpretable,pcr,"n_components=8,alpha=1.0,max_features=24,y_transform=log1p",0,153,115,38,27,23,23,4.795529948652205,1.1443271916400979,-57.34843549618209,0.6278009950097084,-663.8614762912324
rhamnose_gL,all_known,raman_interpretable,pls,"n_components=8,alpha=1.0,max_features=24,y_transform=log1p",0,153,115,38,27,23,23,18.887313519791068,3.428280827694133,-904.0996136787122,0.6278009950097084,-2908.487350278728
rhamnose_gL,all_known,raman_interpretable,pcr,"n_components=12,alpha=1.0,max_features=24,y_transform=log1p",0,153,115,38,27,23,23,6.379505277964634,1.4050130612687481,-102.25949643236291,0.6278009950097084,-916.1667994594341
rhamnose_gL,all_known,raman_interpretable,pls,"n_components=12,alpha=1.0,max_features=24,y_transform=log1p",0,153,115,38,27,23,23,12.165894903660705,2.337438665672798,-374.529554057547,0.6278009950097084,-1837.858493434304
rhamnose_gL,all_known,raman_interpretable,ridge,"alpha=0.1,max_features=48,y_transform=none",0,153,115,38,27,23,23,1.5625208443868766,0.7026525486229885,-5.19451972109725,0.6278009950097084,-148.8879209824625
rhamnose_gL,all_known,raman_interpretable,ridge,"alpha=1.0,max_features=48,y_transform=none",0,153,115,38,27,23,23,1.3199248922965405,0.6635269235359282,-3.4203274176125094,0.6278009950097084,-110.24574710591673
rhamnose_gL,all_known,raman_interpretable,ridge,"alpha=10.0,max_features=48,y_transform=none",0,153,115,38,27,23,23,1.066214090130247,0.5964753171880853,-1.8843292593894385,0.6278009950097084,-69.83313161422417
rhamnose_gL,all_known,raman_interpretable,knn,"k=1,weighted=True,max_features=48,y_transform=none",0,153,115,38,27,23,23,0.7200561929826252,0.3588157894736842,-0.31549372429874856,0.6278009950097084,-14.694974793961606
rhamnose_gL,all_known,raman_interpretable,knn,"k=3,weighted=True,max_features=48,y_transform=none",0,153,115,38,27,23,23,0.8474793331609205,0.4955468624012114,-0.822276325669683,0.6278009950097084,-34.99171551134845
rhamnose_gL,all_known,raman_interpretable,knn,"k=5,weighted=True,max_features=48,y_transform=none",0,153,115,38,27,23,23,0.7850708315994726,0.49755668663427843,-0.5637729070020685,0.6278009950097084,-25.05090591443425
rhamnose_gL,all_known,raman_interpretable,knn,"k=9,weighted=True,max_features=48,y_transform=none",0,153,115,38,27,23,23,0.7994398197714733,0.565197447244744,-0.6215395793707608,0.6278009950097084,-27.339686640527
rhamnose_gL,all_known,raman_interpretable,pcr,"n_components=2,alpha=1.0,max_features=48,y_transform=none",0,153,115,38,27,23,23,0.6668122133289118,0.5009613074901754,-0.1281402443381956,0.6278009950097084,-6.2139465577941815
rhamnose_gL,all_known,raman_interpretable,pls,"n_components=2,alpha=1.0,max_features=48,y_transform=none",0,153,115,38,27,23,23,0.7634172567137502,0.5469515050160006,-0.47869956854383466,0.6278009950097084,-21.601791456533856
rhamnose_gL,all_known,raman_interpretable,pcr,"n_components=3,alpha=1.0,max_features=48,y_transform=none",0,153,115,38,27,23,23,0.7341836432481178,0.5298916781792429,-0.3676198953566807,0.6278009950097084,-16.945281878179287
rhamnose_gL,all_known,raman_interpretable,pls,"n_components=3,alpha=1.0,max_features=48,y_transform=none",0,153,115,38,27,23,23,0.9710482055865922,0.572246877974823,-1.3924208615485907,0.6278009950097084,-54.67452477860054
rhamnose_gL,all_known,raman_interpretable,pcr,"n_components=5,alpha=1.0,max_features=48,y_transform=none",0,153,115,38,27,23,23,0.7196965832182688,0.5240468673902478,-0.3141800872128153,0.6278009950097084,-14.6376939410775
rhamnose_gL,all_known,raman_interpretable,pls,"n_components=5,alpha=1.0,max_features=48,y_transform=none",0,153,115,38,27,23,23,1.2994512033335162,0.6380929046459588,-3.284261309883613,0.6278009950097084,-106.98457212757702
rhamnose_gL,all_known,raman_interpretable,pcr,"n_components=8,alpha=1.0,max_features=48,y_transform=none",0,153,115,38,27,23,23,1.2345262090366995,0.6249803809375486,-2.866843802750682,0.6278009950097084,-96.6429201052172
rhamnose_gL,all_known,raman_interpretable,pls,"n_components=8,alpha=1.0,max_features=48,y_transform=none",0,153,115,38,27,23,23,1.538159616726106,0.7240596782664053,-5.002868238364837,0.6278009950097084,-145.00751495341603
rhamnose_gL,all_known,raman_interpretable,pcr,"n_components=12,alpha=1.0,max_features=48,y_transform=none",0,153,115,38,27,23,23,1.3068680801305346,0.6702072869121589,-3.333307432871231,0.6278009950097084,-108.16597783670683
rhamnose_gL,all_known,raman_interpretable,pls,"n_components=12,alpha=1.0,max_features=48,y_transform=none",0,153,115,38,27,23,23,1.467087075928535,0.6996798087474833,-4.460944756103397,0.6278009950097084,-133.68664395089846
rhamnose_gL,all_known,raman_interpretable,ridge,"alpha=0.1,max_features=48,y_transform=log1p",0,153,115,38,27,23,23,17.439829101646858,3.185805932721104,-770.6856961235725,0.6278009950097084,-2677.923138107987
rhamnose_gL,all_known,raman_interpretable,ridge,"alpha=1.0,max_features=48,y_transform=log1p",0,153,115,38,27,23,23,6.670797117536402,1.4489932770202565,-111.9045555495927,0.6278009950097084,-962.5655535052542
rhamnose_gL,all_known,raman_interpretable,ridge,"alpha=10.0,max_features=48,y_transform=log1p",0,153,115,38,27,23,23,2.2636150374400352,0.7306315383547052,-12.000532499910538,0.6278009950097084,-260.56251191590263
rhamnose_gL,all_known,raman_interpretable,knn,"k=1,weighted=True,max_features=48,y_transform=log1p",0,153,115,38,27,23,23,0.7200561929826252,0.3588157894736842,-0.31549372429874856,0.6278009950097084,-14.694974793961606
rhamnose_gL,all_known,raman_interpretable,knn,"k=3,weighted=True,max_features=48,y_transform=log1p",0,153,115,38,27,23,23,0.7400478727789093,0.4218715343948436,-0.389554643518383,0.6278009950097084,-17.87937239052401
rhamnose_gL,all_known,raman_interpretable,knn,"k=5,weighted=True,max_features=48,y_transform=log1p",0,153,115,38,27,23,23,0.6903314173756934,0.41399840448595837,-0.2091252157857859,0.6278009950097084,-9.960229891801616
rhamnose_gL,all_known,raman_interpretable,knn,"k=9,weighted=True,max_features=48,y_transform=log1p",0,153,115,38,27,23,23,0.7005028896478073,0.44737063970236884,-0.2450186666995524,0.6278009950097084,-11.580404493779843
rhamnose_gL,all_known,raman_interpretable,pcr,"n_components=2,alpha=1.0,max_features=48,y_transform=log1p",0,153,115,38,27,23,23,0.6492505800904856,0.4048870359926431,-0.06949976455692264,0.6278009950097084,-3.416621708356087
rhamnose_gL,all_known,raman_interpretable,pls,"n_components=2,alpha=1.0,max_features=48,y_transform=log1p",0,153,115,38,27,23,23,0.7898108046967985,0.4698329243209153,-0.5827128992268178,0.6278009950097084,-25.80591795407791
rhamnose_gL,all_known,raman_interpretable,pcr,"n_components=3,alpha=1.0,max_features=48,y_transform=log1p",0,153,115,38,27,23,23,0.678492781925368,0.4260611598367495,-0.16800973978511013,0.6278009950097084,-8.074499294935915
rhamnose_gL,all_known,raman_interpretable,pls,"n_components=3,alpha=1.0,max_features=48,y_transform=log1p",0,153,115,38,27,23,23,1.4935097110305449,0.6014188634132144,-4.659422306517659,0.6278009950097084,-137.89540362347608
rhamnose_gL,all_known,raman_interpretable,pcr,"n_components=5,alpha=1.0,max_features=48,y_transform=log1p",0,153,115,38,27,23,23,0.6653979493700872,0.4216922999350818,-0.12335989960358207,0.6278009950097084,-5.988673904506538
rhamnose_gL,all_known,raman_interpretable,pls,"n_components=5,alpha=1.0,max_features=48,y_transform=log1p",0,153,115,38,27,23,23,4.875241597819001,1.1577855810407562,-59.304300694203526,0.6278009950097084,-676.5584375576866
rhamnose_gL,all_known,raman_interpretable,pcr,"n_components=8,alpha=1.0,max_features=48,y_transform=log1p",0,153,115,38,27,23,23,4.795529948652205,1.1443271916400979,-57.34843549618209,0.6278009950097084,-663.8614762912324
rhamnose_gL,all_known,raman_interpretable,pls,"n_components=8,alpha=1.0,max_features=48,y_transform=log1p",0,153,115,38,27,23,23,18.887313519791068,3.428280827694133,-904.0996136787122,0.6278009950097084,-2908.487350278728
rhamnose_gL,all_known,raman_interpretable,pcr,"n_components=12,alpha=1.0,max_features=48,y_transform=log1p",0,153,115,38,27,23,23,6.379505277964634,1.4050130612687481,-102.25949643236291,0.6278009950097084,-916.1667994594341
rhamnose_gL,all_known,raman_interpretable,pls,"n_components=12,alpha=1.0,max_features=48,y_transform=log1p",0,153,115,38,27,23,23,12.165894903660705,2.337438665672798,-374.529554057547,0.6278009950097084,-1837.858493434304
rhamnose_gL,all_known,raman_interpretable,ridge,"alpha=0.1,max_features=96,y_transform=none",0,153,115,38,27,23,23,1.5625208443868766,0.7026525486229885,-5.19451972109725,0.6278009950097084,-148.8879209824625
rhamnose_gL,all_known,raman_interpretable,ridge,"alpha=1.0,max_features=96,y_transform=none",0,153,115,38,27,23,23,1.3199248922965405,0.6635269235359282,-3.4203274176125094,0.6278009950097084,-110.24574710591673
rhamnose_gL,all_known,raman_interpretable,ridge,"alpha=10.0,max_features=96,y_transform=none",0,153,115,38,27,23,23,1.066214090130247,0.5964753171880853,-1.8843292593894385,0.6278009950097084,-69.83313161422417
rhamnose_gL,all_known,raman_interpretable,knn,"k=1,weighted=True,max_features=96,y_transform=none",0,153,115,38,27,23,23,0.7200561929826252,0.3588157894736842,-0.31549372429874856,0.6278009950097084,-14.694974793961606
rhamnose_gL,all_known,raman_interpretable,knn,"k=3,weighted=True,max_features=96,y_transform=none",0,153,115,38,27,23,23,0.8474793331609205,0.4955468624012114,-0.822276325669683,0.6278009950097084,-34.99171551134845
rhamnose_gL,all_known,raman_interpretable,knn,"k=5,weighted=True,max_features=96,y_transform=none",0,153,115,38,27,23,23,0.7850708315994726,0.49755668663427843,-0.5637729070020685,0.6278009950097084,-25.05090591443425
rhamnose_gL,all_known,raman_interpretable,knn,"k=9,weighted=True,max_features=96,y_transform=none",0,153,115,38,27,23,23,0.7994398197714733,0.565197447244744,-0.6215395793707608,0.6278009950097084,-27.339686640527
rhamnose_gL,all_known,raman_interpretable,pcr,"n_components=2,alpha=1.0,max_features=96,y_transform=none",0,153,115,38,27,23,23,0.6668122133289118,0.5009613074901754,-0.1281402443381956,0.6278009950097084,-6.2139465577941815
rhamnose_gL,all_known,raman_interpretable,pls,"n_components=2,alpha=1.0,max_features=96,y_transform=none",0,153,115,38,27,23,23,0.7634172567137502,0.5469515050160006,-0.47869956854383466,0.6278009950097084,-21.601791456533856
rhamnose_gL,all_known,raman_interpretable,pcr,"n_components=3,alpha=1.0,max_features=96,y_transform=none",0,153,115,38,27,23,23,0.7341836432481178,0.5298916781792429,-0.3676198953566807,0.6278009950097084,-16.945281878179287
rhamnose_gL,all_known,raman_interpretable,pls,"n_components=3,alpha=1.0,max_features=96,y_transform=none",0,153,115,38,27,23,23,0.9710482055865922,0.572246877974823,-1.3924208615485907,0.6278009950097084,-54.67452477860054
rhamnose_gL,all_known,raman_interpretable,pcr,"n_components=5,alpha=1.0,max_features=96,y_transform=none",0,153,115,38,27,23,23,0.7196965832182688,0.5240468673902478,-0.3141800872128153,0.6278009950097084,-14.6376939410775
rhamnose_gL,all_known,raman_interpretable,pls,"n_components=5,alpha=1.0,max_features=96,y_transform=none",0,153,115,38,27,23,23,1.2994512033335162,0.6380929046459588,-3.284261309883613,0.6278009950097084,-106.98457212757702
rhamnose_gL,all_known,raman_interpretable,pcr,"n_components=8,alpha=1.0,max_features=96,y_transform=none",0,153,115,38,27,23,23,1.2345262090366995,0.6249803809375486,-2.866843802750682,0.6278009950097084,-96.6429201052172
rhamnose_gL,all_known,raman_interpretable,pls,"n_components=8,alpha=1.0,max_features=96,y_transform=none",0,153,115,38,27,23,23,1.538159616726106,0.7240596782664053,-5.002868238364837,0.6278009950097084,-145.00751495341603
rhamnose_gL,all_known,raman_interpretable,pcr,"n_components=12,alpha=1.0,max_features=96,y_transform=none",0,153,115,38,27,23,23,1.3068680801305346,0.6702072869121589,-3.333307432871231,0.6278009950097084,-108.16597783670683
rhamnose_gL,all_known,raman_interpretable,pls,"n_components=12,alpha=1.0,max_features=96,y_transform=none",0,153,115,38,27,23,23,1.467087075928535,0.6996798087474833,-4.460944756103397,0.6278009950097084,-133.68664395089846
rhamnose_gL,all_known,raman_interpretable,ridge,"alpha=0.1,max_features=96,y_transform=log1p",0,153,115,38,27,23,23,17.439829101646858,3.185805932721104,-770.6856961235725,0.6278009950097084,-2677.923138107987
rhamnose_gL,all_known,raman_interpretable,ridge,"alpha=1.0,max_features=96,y_transform=log1p",0,153,115,38,27,23,23,6.670797117536402,1.4489932770202565,-111.9045555495927,0.6278009950097084,-962.5655535052542
rhamnose_gL,all_known,raman_interpretable,ridge,"alpha=10.0,max_features=96,y_transform=log1p",0,153,115,38,27,23,23,2.2636150374400352,0.7306315383547052,-12.000532499910538,0.6278009950097084,-260.56251191590263
