target,cohort,feature_set,model,config,seed,rmse,mae,r2,improvement_vs_test_mean_pct
xylose_gL,all_known,fusion_interpretable,sklearn_plsr,"n_components=5,max_features=192",4,0.7988782067048265,0.37871948751209156,0.09755482833120277,5.002885745471351
xylose_gL,all_known,fusion_interpretable,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",4,0.7623472489994668,0.2896429660153178,0.17820148352320053,9.346896551921652
xylose_gL,all_known,fusion_interpretable,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",4,0.8287759402928722,0.22889675880381408,0.028743478890229657,1.4476524323357391
xylose_gL,all_known,fusion_interpretable,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",4,0.9682851877025572,0.5700537997654506,-0.3257640998463627,-15.141829924939195
glucose_gL,all_known,fusion_interpretable,sklearn_plsr,"n_components=2,max_features=192",0,0.5001335783557155,0.4099997135053679,-1.445550460524704,-56.3825585071655
glucose_gL,all_known,fusion_interpretable,sklearn_plsr,"n_components=5,max_features=192",0,0.7698485659718404,0.4872648748851756,-4.794489917525422,-140.7174675324876
glucose_gL,all_known,fusion_interpretable,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",0,0.3184190632645051,0.2090186199948848,0.008705441893030352,0.4362235495775446
glucose_gL,all_known,fusion_interpretable,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",0,0.41078245626257087,0.19549545572312335,-0.6497888955652102,-28.444108294822556
glucose_gL,all_known,fusion_interpretable,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",0,0.6112986003204902,0.36738646565005184,-2.653519284575827,-91.14181344163886
glucose_gL,all_known,fusion_interpretable,sklearn_plsr,"n_components=2,max_features=192",1,0.44157211112184336,0.3581809209523505,-0.4513223612295154,-20.470841336379628
glucose_gL,all_known,fusion_interpretable,sklearn_plsr,"n_components=5,max_features=192",1,0.8738963324348284,0.5257572504603012,-4.684345244956106,-138.41864954227273
glucose_gL,all_known,fusion_interpretable,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",1,0.3456661498654538,0.2536310143175174,0.11064670442085844,5.694470173847089
glucose_gL,all_known,fusion_interpretable,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",1,0.4465969833729919,0.23372314925175988,-0.4845409590044323,-21.841739933588954
glucose_gL,all_known,fusion_interpretable,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",1,0.3674941022453074,0.2575644648458277,-0.005220556775200391,-0.26068804746955204
glucose_gL,all_known,fusion_interpretable,sklearn_plsr,"n_components=2,max_features=192",2,1.2566888467437463,0.6135383360782323,-0.0026377392580076986,-0.13180010655994875
glucose_gL,all_known,fusion_interpretable,sklearn_plsr,"n_components=5,max_features=192",2,1.2528863693017505,0.617761878455892,0.003420625103488062,0.1711777643093596
glucose_gL,all_known,fusion_interpretable,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",2,1.3408884146824056,0.6093592963464038,-0.14149444665183486,-6.840743476065117
glucose_gL,all_known,fusion_interpretable,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",2,1.3588495764913717,0.563663802024301,-0.17227983025099913,-8.27187216682822
glucose_gL,all_known,fusion_interpretable,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",2,1.0466395685249479,0.5415371102632156,0.30452291567734235,16.604731289919226
glucose_gL,all_known,fusion_interpretable,sklearn_plsr,"n_components=2,max_features=192",3,0.6406600764840278,0.48189160132944064,-0.05668417768600187,-2.7951447144271486
glucose_gL,all_known,fusion_interpretable,sklearn_plsr,"n_components=5,max_features=192",3,0.6513360245807731,0.4775566262118695,-0.09219473913075138,-4.508121173942819
glucose_gL,all_known,fusion_interpretable,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",3,0.695923424615478,0.4105121458780178,-0.2468459301429622,-11.662255491413132
glucose_gL,all_known,fusion_interpretable,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",3,0.6542505795675376,0.28572497004821173,-0.10199116870447389,-4.975767141968241
glucose_gL,all_known,fusion_interpretable,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",3,0.7795912102563648,0.4781181737759283,-0.5646735814283059,-25.086913041625028
glucose_gL,all_known,fusion_interpretable,sklearn_plsr,"n_components=2,max_features=192",4,0.5949202282226699,0.475887797313517,-0.5607629701822565,-24.93049948600449
glucose_gL,all_known,fusion_interpretable,sklearn_plsr,"n_components=5,max_features=192",4,0.5871960162337009,0.47646336235523573,-0.5204974002444025,-23.3084506530028
glucose_gL,all_known,fusion_interpretable,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",4,0.542308191563903,0.3149101149475212,-0.2969158858515635,-13.882214847251868
glucose_gL,all_known,fusion_interpretable,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",4,0.49316191767856926,0.21381236487469307,-0.07250307564813263,-3.561724379624573
glucose_gL,all_known,fusion_interpretable,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",4,0.6178042588839613,0.38494762887113865,-0.6831440127850958,-29.736040204142803
rhamnose_gL,all_known,eem_full,sklearn_plsr,"n_components=2,max_features=192",0,0.39644610448958645,0.2981995434987793,-0.13824526949365223,-6.688578090330374
rhamnose_gL,all_known,eem_full,sklearn_plsr,"n_components=5,max_features=192",0,0.36295022392055465,0.2543976603828029,0.045970768240817694,2.325580024287695
rhamnose_gL,all_known,eem_full,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",0,0.37960199437760317,0.2715444355290287,-0.043577039851329324,-2.155618536198457
rhamnose_gL,all_known,eem_full,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",0,0.5241451791873214,0.44718735384021874,-0.9896227399113564,-41.05398753354535
rhamnose_gL,all_known,eem_full,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",0,0.3688934309153402,0.2440754872634755,0.014471046834917956,0.7261890947525736
