target,cohort,feature_set,preprocessing_config,model,config,n_repeats,mean_rmse,std_rmse,mean_mae,mean_r2
glucose_gL,all_known,parafac_raman_fusion_als_sg0_snv_area,als_sg0_snv_area+parafac,krr,"kernel=laplacian,alpha=0.1,gamma_scale=2.0,max_features=48,x_transform=l2,log_target=False",10,0.74486594,0.25313479,0.43852797,-1.3592514
glucose_gL,all_known,raman_preprocessed_als_sg2_snv,als_sg2_snv,krr,"kernel=laplacian,alpha=0.1,gamma_scale=2.0,max_features=192,x_transform=l2,log_target=True",10,0.74496304,0.33822749,0.34710605,-0.013255841
glucose_gL,all_known,raman_preprocessed_als_sg2_snv,als_sg2_snv,krr,"kernel=laplacian,alpha=0.01,gamma_scale=2.0,max_features=192,x_transform=none,log_target=True",10,0.74522628,0.33701792,0.34822013,-0.017311182
glucose_gL,all_known,raman_preprocessed_als_sg0_snv_area,als_sg0_snv_area,krr,"kernel=laplacian,alpha=0.1,gamma_scale=2.0,max_features=192,x_transform=none,log_target=True",10,0.74531377,0.33892747,0.34369242,-0.011833906
glucose_gL,all_known,raman_preprocessed_als_sg2_snv,als_sg2_snv,krr,"kernel=laplacian,alpha=0.01,gamma_scale=2.0,max_features=192,x_transform=l2,log_target=True",10,0.74547786,0.33783308,0.34843674,-0.015862157
glucose_gL,all_known,raman_preprocessed_als_sg0_snv_area,als_sg0_snv_area,krr,"kernel=laplacian,alpha=0.01,gamma_scale=2.0,max_features=192,x_transform=none,log_target=True",10,0.74564009,0.3390533,0.34448919,-0.012390685
glucose_gL,all_known,parafac_raman_fusion_als_sg0_snv_area,als_sg0_snv_area+parafac,weighted_knn,"k=3,metric=manhattan,max_features=12,x_transform=none,log_target=True",10,0.7457672,0.31889487,0.34408192,-0.58072101
glucose_gL,all_known,eem_parafac_scores,parafac_rank_selected,weighted_knn,"k=3,metric=manhattan,max_features=12,x_transform=none,log_target=False",10,0.74578074,0.24710352,0.3954177,-0.9190168
glucose_gL,all_known,eem_parafac_scores,parafac_rank_selected,weighted_knn,"k=3,metric=manhattan,max_features=48,x_transform=none,log_target=False",10,0.74578074,0.24710352,0.3954177,-0.9190168
glucose_gL,all_known,eem_parafac_scores,parafac_rank_selected,weighted_knn,"k=3,metric=manhattan,max_features=192,x_transform=none,log_target=False",10,0.74578074,0.24710352,0.3954177,-0.9190168
glucose_gL,all_known,raman_preprocessed_als_sg0_snv_area,als_sg0_snv_area,krr,"kernel=laplacian,alpha=0.01,gamma_scale=2.0,max_features=12,x_transform=none,log_target=True",10,0.74582181,0.32701768,0.33588958,-0.071265502
glucose_gL,all_known,parafac_raman_fusion_als_sg0_snv_area,als_sg0_snv_area+parafac,krr,"kernel=laplacian,alpha=0.01,gamma_scale=2.0,max_features=12,x_transform=none,log_target=False",10,0.74593873,0.27455822,0.41209375,-1.4123088
glucose_gL,all_known,raman_preprocessed_als_sg0_snv_area,als_sg0_snv_area,krr,"kernel=laplacian,alpha=0.1,gamma_scale=2.0,max_features=192,x_transform=l2,log_target=True",10,0.74597641,0.33864955,0.34566827,-0.014737588
