feature_strategy,model_category,model,config,split,n_samples,n_train,n_test,n_features_raw,n_features_selected,rmse,mae,r2,status
EEM + Raman interpretable,ML,Kernel ridge,"rbf,alpha=0.1",0,150,112,38,43,43,0.3721278512009008,0.29009959226618337,-1.5218629813653406,ok
EEM + Raman interpretable,ML,Random forest,"n=250,max_depth=4",0,150,112,38,43,43,0.3027580974921191,0.24881996789126107,-0.6692780061341101,ok
EEM + Raman interpretable,ML,Extra trees,"n=250,max_depth=4",0,150,112,38,43,43,0.32310789621726144,0.26710293565481563,-0.9012195850651246,ok
EEM + Raman interpretable,DL,ANN MLP,"hidden=(32,16),early_stop",0,150,112,38,43,43,0.3779608129001154,0.32303641458358806,-1.6015410618802255,ok
EEM + Raman interpretable,ML,XGBoost,"n=250,depth=2,eta=0.05",0,150,112,38,43,43,0.26532484856833516,0.21414187022337786,-0.2820146450447334,ok
EEM + Raman interpretable,Statistics,Mean baseline,mean,1,150,112,38,43,12,0.3062327308037921,0.25986372180451134,-0.11732709228443894,ok
EEM + Raman interpretable,Statistics,Linear regression,ols,1,150,112,38,43,43,0.49889587099477595,0.41090711886558234,-1.9654932122470417,ok
EEM + Raman interpretable,Statistics,Ridge,alpha=10,1,150,112,38,43,43,0.37030956758786443,0.30997070590958303,-0.6338304317635284,ok
EEM + Raman interpretable,Statistics,Lasso,alpha=0.001,1,150,112,38,43,43,0.40198073160390996,0.31888154457410145,-0.9252520195772687,ok
EEM + Raman interpretable,Statistics,Elastic Net,"alpha=0.001,l1_ratio=0.2",1,150,112,38,43,43,0.4130068256357802,0.32455392321137844,-1.0323175776808569,ok
EEM + Raman interpretable,Chemometrics,PLSR,n_components=2,1,150,112,38,43,43,0.3583828371536391,0.30747531684293516,-0.5302821822686741,ok
EEM + Raman interpretable,Chemometrics,PLSR,n_components=5,1,150,112,38,43,43,0.38515295707252983,0.3188783488226807,-0.7674355587284702,ok
EEM + Raman interpretable,Chemometrics,PCR + Ridge,n_components=5,1,150,112,38,43,43,0.3446845790527294,0.2941563643180368,-0.41553568666650853,ok
EEM + Raman interpretable,ML,SVR linear,"C=1,epsilon=0.05",1,150,112,38,43,43,0.31373920800809035,0.1730185756239497,-0.17277501979338705,ok
EEM + Raman interpretable,ML,SVR RBF,"C=10,epsilon=0.05",1,150,112,38,43,43,0.30928686733539285,0.22343961575698723,-0.1397249998644139,ok
EEM + Raman interpretable,ML,Weighted kNN,"k=3,distance",1,150,112,38,43,43,0.34325032681160234,0.2153309317729606,-0.4037799459593019,ok
EEM + Raman interpretable,ML,Kernel ridge,"rbf,alpha=0.1",1,150,112,38,43,43,0.308112927949785,0.2302947000611424,-0.13108946444803182,ok
